disant	disolh	lar	com				
0.250	0.470	1.050	2.970				
0.230	0.430	0.990	2.790				
0.250	0.460	1.070	2.950				
0.250	0.440	1.060	2.770				
0.270	0.450	1.030	2.670				
0.240	0.430	0.990	2.700				
0.250	0.450	1.060	2.770				
0.260	0.430	0.930	2.700				
0.240	0.430	1.060	2.820				
0.240	0.460	1.020	2.660				
0.260	0.450	0.960	2.810				
0.250	0.460	1.040	2.820				
0.250	0.450	1.000	2.740				
0.250	0.440	1.000	2.820				
0.240	0.450	0.910	2.780				
0.240	0.430	0.910	2.780				
0.250	0.440	1.010	2.620				
0.260	0.500	1.110	2.920				
0.230	0.430	0.870	2.690				
0.230	0.420	0.870	2.690				
0.250	0.430	0.960	2.660				
0.250	0.430	0.980	2.920				
0.240	0.440	0.920	2.820				
0.260	0.450	1.060	2.730				
0.240	0.450	0.990	2.670				
0.250	0.440	0.910	2.850				
0.240	0.430	0.940	2.540				
0.260	0.460	1.090	2.850				
0.250	0.470	0.900	2.900				
0.240	0.430	0.980	2.780				
0.270	0.450	0.920	2.780				
0.240	0.440	0.990	2.820				
0.260	0.450	1.080	2.780				
0.270	0.460	1.070	3.020				
0.270	0.470	1.070	3.070				
0.240	0.450	1.030	2.600				
0.230	0.440	0.930	2.750				
0.240	0.430	1.000	2.680				
0.270	0.500	1.260	3.170				
0.260	0.440	0.880	2.170				
0.250	0.450	1.000	2.840				
0.240	0.470	1.070	2.830				
0.230	0.430	0.880	2.950				
0.240	0.410	0.880	2.680				
0.250	0.460	0.820	2.770				
							
							
							
							
							
							 
							
							
							
